Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
39,Jules Bernard,SG,24,WAS,15,0,111,21,50,0.42,9,25,0.36,12,25,0.48,0.51,4,8,0.5,7,9,16,13,2,1,4,11,55
40,D¨¡vis Bert¨¡ns,PF,31,TOT,36,0,516,68,179,0.38,60,155,0.387,8,24,0.333,0.547,27,30,0.9,7,41,48,29,18,8,11,40,223
40,D¨¡vis Bert¨¡ns,PF,31,OKC,15,0,91,10,26,0.385,10,24,0.417,0,2,0,0.577,14,15,0.933,2,8,10,9,3,3,1,10,44
40,D¨¡vis Bert¨¡ns,PF,31,CHO,21,0,425,58,153,0.379,50,131,0.382,8,22,0.364,0.542,13,15,0.867,5,33,38,20,15,5,10,30,179
41,Patrick Beverley,PG,35,TOT,68,8,1334,142,348,0.408,54,167,0.323,88,181,0.486,0.486,70,86,0.814,43,165,208,191,39,30,62,122,408
41,Patrick Beverley,PG,35,PHI,47,5,919,104,241,0.432,35,109,0.321,69,132,0.523,0.504,51,63,0.81,30,115,145,144,24,18,49,83,294
41,Patrick Beverley,PG,35,MIL,21,3,415,38,107,0.355,19,58,0.328,19,49,0.388,0.444,19,23,0.826,13,50,63,47,15,12,13,39,114
42,Saddiq Bey,SF,24,ATL,63,51,2062,290,697,0.416,113,358,0.316,177,339,0.522,0.497,170,203,0.837,167,244,411,92,51,11,54,88,863
43,Goga Bitadze,C,24,ORL,57,33,933,124,203,0.611,2,13,0.154,122,190,0.642,0.616,54,82,0.659,108,170,278,78,30,71,42,104,304
44,Onuralp Bitim,SG,24,CHI,18,0,226,28,66,0.424,11,35,0.314,17,31,0.548,0.508,3,4,0.75,6,24,30,13,3,2,7,20,70
45,Bismack Biyombo,C,31,TOT,37,27,758,68,123,0.553,0,0,,68,123,0.553,0.553,24,50,0.48,60,137,197,53,11,35,42,88,160
45,Bismack Biyombo,C,31,MEM,30,27,718,67,119,0.563,0,0,,67,119,0.563,0.563,22,46,0.478,57,134,191,51,10,34,38,82,156
45,Bismack Biyombo,C,31,OKC,7,0,40,1,4,0.25,0,0,,1,4,0.25,0.25,2,4,0.5,3,3,6,2,1,1,4,6,4
46,Anthony Black,PG,20,ORL,65,33,1134,111,242,0.459,35,91,0.385,76,151,0.503,0.531,49,80,0.613,33,105,138,90,35,21,53,108,306
47,Leaky Black,SF,24,CHO,22,3,218,17,39,0.436,7,15,0.467,10,24,0.417,0.526,9,14,0.643,8,30,38,18,5,6,5,15,50
48,Buddy Boeheim,SF,24,DET,5,0,49,7,20,0.35,6,17,0.353,1,3,0.333,0.5,5,5,1,1,7,8,3,0,1,0,3,25
49,Bogdan Bogdanovi?,SG,31,ATL,71,25,2144,428,1000,0.428,219,582,0.376,209,418,0.5,0.538,128,141,0.908,50,199,249,220,88,20,96,162,1203
50,Bojan Bogdanovi?,PF-SF,34,TOT,49,27,1339,275,612,0.449,120,304,0.395,155,308,0.503,0.547,107,137,0.781,19,118,137,92,28,5,94,90,777
50,Bojan Bogdanovi?,PF,34,DET,28,27,921,199,425,0.468,86,207,0.415,113,218,0.518,0.569,81,104,0.779,13,81,94,71,23,4,63,57,565
50,Bojan Bogdanovi?,SF,34,NYK,21,0,418,76,187,0.406,34,97,0.351,42,90,0.467,0.497,26,33,0.788,6,37,43,21,5,1,31,33,212
51,Bol Bol,PF,24,PHO,36,0,407,83,134,0.619,19,45,0.422,64,89,0.719,0.69,13,17,0.765,30,90,120,16,6,22,15,39,198
52,Marques Bolden,C,25,TOT,4,0,16,0,1,0,0,0,,0,1,0,0,0,0,,0,3,3,0,0,0,1,2,0
52,Marques Bolden,C,25,MIL,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,1,0
