player,pos,age,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
P.J. Tucker,PF,38,25,4,389,13,39,0.333,10,29,0.345,3,10,0.3,0.462,3,3,1,23,48,71,12,13,7,8,48,39
P.J. Tucker,PF,38,22,1,323,11,34,0.324,8,24,0.333,3,10,0.3,0.441,3,3,1,22,35,57,12,10,5,6,39,33
Myles Turner,C,27,71,71,1936,436,843,0.517,103,295,0.349,333,548,0.608,0.578,227,293,0.775,108,381,489,92,37,130,101,220,1202
Stanley Umude,SG,24,24,2,307,37,84,0.44,24,53,0.453,13,31,0.419,0.583,29,32,0.906,8,43,51,11,8,7,14,40,127
Jonas Valan?i¨±nas,C,31,74,74,1773,367,656,0.559,37,111,0.333,330,545,0.606,0.588,145,182,0.797,177,496,673,154,28,68,98,202,916
Jarred Vanderbilt,PF,24,29,6,581,59,114,0.518,8,27,0.296,51,87,0.586,0.553,24,36,0.667,41,97,138,36,36,5,28,43,150
Fred VanVleet,PG,29,67,67,2452,374,905,0.413,204,531,0.384,170,374,0.455,0.526,170,196,0.867,26,221,247,542,87,57,117,160,1122
Devin Vassell,SG,23,68,62,2248,498,1056,0.472,166,446,0.372,332,610,0.544,0.55,161,201,0.801,27,234,261,277,73,23,108,74,1323
Sasha Vezenkov,PF,28,36,0,450,76,168,0.452,39,101,0.386,37,67,0.552,0.568,10,13,0.769,30,58,88,16,18,7,12,37,201
Gabe Vincent,PG,27,6,0,141,13,36,0.361,2,19,0.105,11,17,0.647,0.389,1,2,0.5,2,4,6,16,7,0,3,14,29
Nikola Vu?evi?,C,33,70,68,2397,540,1121,0.482,83,292,0.284,457,829,0.551,0.519,96,117,0.821,193,549,742,235,47,57,113,176,1259
Dean Wade,PF,27,54,32,1108,96,232,0.414,79,202,0.391,17,30,0.567,0.584,20,26,0.769,37,181,218,43,40,25,20,93,291
Franz Wagner,SF,22,66,66,2155,482,1007,0.479,87,309,0.282,395,698,0.566,0.522,239,282,0.848,64,287,351,253,70,26,130,155,1290
Moritz Wagner,C,26,72,1,1288,297,496,0.599,34,103,0.33,263,393,0.669,0.633,152,190,0.8,108,211,319,91,35,20,89,143,780
Ish Wainright,SF,29,10,0,61,7,24,0.292,7,20,0.35,0,4,0,0.438,2,2,1,3,11,14,1,4,1,2,8,23
Ish Wainright,SF,29,7,0,46,6,18,0.333,6,16,0.375,0,2,0,0.5,2,2,1,0,9,9,0,2,1,1,4,20
Jabari Walker,SF,21,65,16,1466,205,432,0.475,33,118,0.28,172,314,0.548,0.513,108,143,0.755,126,289,415,60,40,21,59,155,551
Jarace Walker,PF,20,30,0,315,40,101,0.396,20,52,0.385,20,49,0.408,0.495,8,9,0.889,11,45,56,37,14,11,15,28,108
